chebi_id,smiles,similarity
CHEBI:16243,O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,0.6727272727272727
CHEBI:18152,O=c1c(O)c(-c2cc(O)c(O)c(O)c2)oc2cc(O)cc(O)c12,0.660377358490566
CHEBI:18215,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc(OC)c1O,0.5932203389830508
CHEBI:27673,O=c1c(O)c(-c2ccc(O)cc2)oc2c(O)c(O)cc(O)c12,0.5084745762711864
CHEBI:28499,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,1.0
CHEBI:67492,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,0.6065573770491803
CHEBI:75092,O=c1c(O)c(-c2ccc(O)cc2O)oc2cc(O)cc(O)c12,0.6071428571428571
CHEBI:75107,O=c1c(O)c(-c2ccccc2O)oc2cc(O)cc(O)c12,0.559322033898305
CHEBI:1579,COc1c(-c2ccc(O)cc2)oc2cc(O)cc(O)c2c1=O,0.5932203389830508
CHEBI:5262,O=c1c(O)c(-c2ccccc2)oc2cc(O)cc(O)c12,0.7307692307692307
CHEBI:6052,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,0.5967741935483871
CHEBI:6099,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1,0.7272727272727273
CHEBI:31763,COc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc(O)c1O,0.5645161290322581
CHEBI:58573,O=c1c([O-])c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0.625
CHEBI:75795,O=c1c(O)c(-c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)oc2cc(O)cc(O)c12,0.5263157894736842
CHEBI:80897,COc1cc(O)c2c(=O)c(O)c(-c3ccc(O)cc3)oc2c1,0.6491228070175439
CHEBI:146145,COc1ccc(-c2oc3cc(OC)cc(O)c3c(=O)c2O)cc1,0.5245901639344263
CHEBI:149478,O=C(c1ccccc1)c1cccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)c1,0.5217391304347826
CHEBI:169742,CC(C)C(=O)Oc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,0.5285714285714286
CHEBI:174458,COc1ccc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1OC,0.6065573770491803
CHEBI:175050,COc1c(O)cc2oc(-c3ccc(O)cc3)c(O)c(=O)c2c1O,0.532258064516129
CHEBI:175544,CC(C)=CCc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)ccc1O,0.5362318840579711
CHEBI:175752,CC1(C)Oc2ccc(-c3oc4cc(O)cc(O)c4c(=O)c3O)cc2CC1O,0.5135135135135135
CHEBI:175758,CC(C)=CCc1cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc(O)c1O,0.5072463768115942
CHEBI:190122,O=c1c(O)c(-c2cc(O)ccc2O)oc2cc(O)cc(O)c12,0.5862068965517241
CHEBI:192648,O=c1c(O)c(-c2c(O)cccc2O)oc2cc(O)cc(O)c12,0.5689655172413793
CHEBI:193271,O=c1c(OS(=O)(=O)O)c(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,0.5555555555555556
CHEBI:196244,O=c1c(O)c(-c2ccc(O)cc2)oc2cc(O)ccc12,0.5
CHEBI:196346,COc1c(O)cc(-c2oc3cc(O)cc(O)c3c(=O)c2O)cc1O,0.5932203389830508
CHEBI:230112,O=c1c(O)c(-c2ccc(O)cc2)oc2cc3c(c(O)c12)OCO3,0.5
